STATE,DOSE EQUIVALENT RATE (nSv/h),GAMMA COUNT RATE R02 (CPM),GAMMA COUNT RATE R03 (CPM),GAMMA COUNT RATE R04 (CPM),GAMMA COUNT RATE R05 (CPM),GAMMA COUNT RATE R06 (CPM),GAMMA COUNT RATE R07 (CPM),GAMMA COUNT RATE R08 (CPM),GAMMA COUNT RATE R09 (CPM)
Nevada.csv_2.csv 0,,1608.557898541993,965.9550548258826,269.34522231594167,146.2178575732016,85.6123629352934,104.86721291721894,65.17351488131101,27.82576214001687
New Hampshire.csv_2.csv 0,,3098.5499940835402,1796.5181635309432,510.39214294166374,259.76085670334874,166.34989942018697,196.99420186960123,97.67057152999645,35.03904863329783
New Jersey.csv_2.csv 0,,1840.0896818875456,1034.2726845873929,289.57142857142856,154.66639276910436,95.71545956098133,114.60464843291466,75.4432445122667,37.001995539382555
New Mexico.csv_2.csv 0,,3285.885166006701,1998.0539141029546,604.22479439537,320.15412732257084,198.5050258909534,250.29424307036248,130.0304599451721,61.90496497106305
New York.csv_2.csv 0,,1780.391094420601,981.2764663805436,299.19456366237483,155.79220314735335,97.36498569384835,125.67972103004291,81.25983547925608,48.96101573676681
North Carolina.csv_2.csv 0,,2148.27046970342,1396.7374769405421,393.40981978146726,214.77877110827302,134.65574003121895,164.71675890449836,99.81580814531006,41.182205193699446
North Dakota.csv_2.csv 0,,2288.5904471544713,1429.7883638211383,407.7909044715447,228.28506097560975,131.45846036585365,172.4439786585366,107.30652947154472,51.95579268292683
Ohio.csv_2.csv 0,,1698.5423872294111,1015.3584472124803,304.29048252509375,149.67444672874592,78.69307050429315,95.3451445156609,57.17716773491353,31.42290482525094
Oklahoma.csv_2.csv 0,,2696.0345871666473,1707.3224641900547,501.9211598928613,259.35122860137415,162.17677885175266,192.12914871317108,111.64364737393734,46.47525328985676
Oregon.csv_2.csv 0,,1887.141092857975,1076.0611674239776,312.77851567051147,167.09006174997089,103.13118956075964,127.56495397879529,80.05068157986717,30.429686589770476
Pennsylvania.csv_2.csv 0,,1770.9602186809352,1008.9136908223799,298.55821798301736,146.0246597650343,84.60881702919623,98.69512620681633,57.273583808305226,32.89391648249389
Rhode Island.csv_2.csv 0,,2759.4359301287773,1609.5353818691826,463.977942113987,236.1686854519954,153.1501976284585,179.03238556674742,99.7497131199796,32.628841004717586
South Carolina.csv_2.csv 0,,2704.046060755742,1509.669054087429,414.2800691528773,203.41034823413187,116.8125463077303,125.90380340824895,82.74808594714744,51.345640898987405
South Dakota.csv_2.csv 0,,3090.8841439304074,1869.6735204955846,489.8413074996705,259.06853828917883,140.05496243574535,170.39791749044417,98.00896269935416,33.625675497561616
Tennessee.csv_2.csv 0,,1957.7741204892043,1207.7049675373698,349.3030348784539,190.23312698173032,111.7778952136494,141.37762343348936,94.59066888117168,59.98233428959686
Texas.csv_2.csv 0,,2207.063866584311,1405.0828906732552,391.5325509573811,215.5950586781964,120.30352069178505,148.9631871525633,93.68424953675108,44.977269919703524
Utah.csv_2.csv 0,,2316.0394957983194,1487.9198079231692,439.3499399759904,243.5110444177671,144.26182472989197,170.9435774309724,107.56434573829532,39.95654261704682
Vermont.csv_2.csv 0,,1888.1085388552815,1128.7631456491392,321.5378082829223,165.73301535597952,103.25849232201024,129.94625407166123,77.24336900884133,46.15542112610517
Virginia.csv_2.csv 0,,2410.6538369591203,1577.490796079369,490.2954817116902,268.8620607219699,154.4982070284485,173.78006215634713,103.71408080325125,49.99438202247191
Washington.csv_2.csv 0,,1265.5625441696113,713.5215547703181,203.6168433451119,104.32014134275619,62.7170789163722,76.35347467608952,45.6263839811543,25.411189634864545
West Virginia.csv_2.csv 0,,2320.4049909020014,1535.7005458799065,480.4321549259163,291.92370678450743,180.6069664673772,252.14647777488952,151.1204834936314,76.76436184039511
Wisconsin.csv_2.csv 0,,2307.538695762497,1341.4695508754123,368.5733316417153,193.83227607206294,116.37224054808425,136.53044912458768,83.85156051763512,34.11697538695763
Wyoming.csv_2.csv 0,,3092.5084648493544,1875.576901004304,507.1206599713056,262.8787661406026,155.44275466284074,184.85925394548062,107.90616929698709,40.491248206599714
